[0.035s] Invoking command in '/home/diablo/diablo_ws/build/motion_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/diablo/diablo_ws/build/motion_msgs
[0.278s] [  1%] Built target motion_msgs__cpp
[0.395s] [ 12%] Built target motion_msgs__rosidl_typesupport_cpp
[0.527s] [ 23%] Built target motion_msgs__rosidl_generator_c
[0.649s] [ 35%] Built target motion_msgs__rosidl_typesupport_fastrtps_c
[0.757s] [ 46%] Built target motion_msgs__rosidl_typesupport_introspection_c
[0.856s] [ 57%] Built target motion_msgs__rosidl_typesupport_c
[0.975s] [ 69%] Built target motion_msgs__rosidl_typesupport_fastrtps_cpp
[1.096s] [ 80%] Built target motion_msgs__rosidl_typesupport_introspection_cpp
[1.181s] [ 80%] Built target motion_msgs
[1.294s] [ 80%] Built target ament_cmake_python_symlink_motion_msgs
[2.264s] running egg_info
[2.267s] writing motion_msgs.egg-info/PKG-INFO
[2.268s] writing dependency_links to motion_msgs.egg-info/dependency_links.txt
[3.044s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/robot_status__struct.h
[3.045s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/robot_status__type_support.h
[3.047s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/leg_motors.h
[3.048s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/motion_ctrl.h
[3.050s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/movement_ctrl_data.h
[3.051s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/movement_ctrl_mode.h
[3.052s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/robot_status.h
[3.054s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/rosidl_generator_c__visibility_control.h
[3.056s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/environment/library_path.sh
[3.058s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/environment/library_path.dsv
[3.064s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/ctrl_plot__rosidl_typesupport_fastrtps_c.h
[3.065s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/leg_motors__rosidl_typesupport_fastrtps_c.h
[3.067s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/motion_ctrl__rosidl_typesupport_fastrtps_c.h
[3.069s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_data__rosidl_typesupport_fastrtps_c.h
[3.070s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_mode__rosidl_typesupport_fastrtps_c.h
[3.072s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/robot_status__rosidl_typesupport_fastrtps_c.h
[3.073s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/rosidl_typesupport_fastrtps_c__visibility_control.h
[3.077s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/ctrl_plot__rosidl_typesupport_introspection_c.h
[3.079s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/leg_motors__rosidl_typesupport_introspection_c.h
[3.080s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/motion_ctrl__rosidl_typesupport_introspection_c.h
[3.082s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_data__rosidl_typesupport_introspection_c.h
[3.083s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_mode__rosidl_typesupport_introspection_c.h
[3.085s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/robot_status__rosidl_typesupport_introspection_c.h
[3.086s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/rosidl_typesupport_introspection_c__visibility_control.h
[3.091s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/ctrl_plot.hpp
[3.093s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/ctrl_plot__builder.hpp
[3.094s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/ctrl_plot__struct.hpp
[3.096s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/ctrl_plot__traits.hpp
[3.097s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/ctrl_plot__type_support.hpp
[3.099s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/leg_motors__builder.hpp
[3.100s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/leg_motors__struct.hpp
[3.102s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/leg_motors__traits.hpp
[3.103s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/leg_motors__type_support.hpp
[3.105s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/motion_ctrl__builder.hpp
[3.106s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/motion_ctrl__struct.hpp
[3.107s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/motion_ctrl__traits.hpp
[3.109s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/motion_ctrl__type_support.hpp
[3.110s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_data__builder.hpp
[3.112s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_data__struct.hpp
[3.113s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_data__traits.hpp
[3.115s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_data__type_support.hpp
[3.116s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_mode__builder.hpp
[3.118s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_mode__struct.hpp
[3.119s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_mode__traits.hpp
[3.121s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_mode__type_support.hpp
[3.122s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/robot_status__builder.hpp
[3.124s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/robot_status__struct.hpp
[3.125s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/robot_status__traits.hpp
[3.127s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/robot_status__type_support.hpp
[3.128s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/leg_motors.hpp
[3.130s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/motion_ctrl.hpp
[3.131s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/movement_ctrl_data.hpp
[3.132s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/movement_ctrl_mode.hpp
[3.134s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/robot_status.hpp
[3.135s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/rosidl_generator_cpp__visibility_control.hpp
[3.142s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/ctrl_plot__rosidl_typesupport_fastrtps_cpp.hpp
[3.143s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/leg_motors__rosidl_typesupport_fastrtps_cpp.hpp
[3.145s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/motion_ctrl__rosidl_typesupport_fastrtps_cpp.hpp
[3.146s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_data__rosidl_typesupport_fastrtps_cpp.hpp
[3.148s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_mode__rosidl_typesupport_fastrtps_cpp.hpp
[3.149s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/robot_status__rosidl_typesupport_fastrtps_cpp.hpp
[3.151s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/rosidl_typesupport_fastrtps_cpp__visibility_control.h
[3.155s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/ctrl_plot__rosidl_typesupport_introspection_cpp.hpp
[3.156s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/leg_motors__rosidl_typesupport_introspection_cpp.hpp
[3.158s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/motion_ctrl__rosidl_typesupport_introspection_cpp.hpp
[3.159s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_data__rosidl_typesupport_introspection_cpp.hpp
[3.161s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/movement_ctrl_mode__rosidl_typesupport_introspection_cpp.hpp
[3.162s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/include/motion_msgs/motion_msgs/msg/detail/robot_status__rosidl_typesupport_introspection_cpp.hpp
[3.164s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/environment/pythonpath.sh
[3.165s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/environment/pythonpath.dsv
[3.170s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs-1.0.0-py3.10.egg-info/PKG-INFO
[3.171s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs-1.0.0-py3.10.egg-info/SOURCES.txt
[3.173s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs-1.0.0-py3.10.egg-info/dependency_links.txt
[3.174s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs-1.0.0-py3.10.egg-info/top_level.txt
[3.183s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/__init__.py
[3.184s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/_motion_msgs_s.ep.rosidl_typesupport_c.c
[3.186s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/_motion_msgs_s.ep.rosidl_typesupport_fastrtps_c.c
[3.187s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/_motion_msgs_s.ep.rosidl_typesupport_introspection_c.c
[3.188s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/libmotion_msgs__rosidl_generator_py.so
[3.190s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/motion_msgs_s__rosidl_typesupport_c.cpython-310-aarch64-linux-gnu.so
[3.191s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/motion_msgs_s__rosidl_typesupport_fastrtps_c.cpython-310-aarch64-linux-gnu.so
[3.193s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/motion_msgs_s__rosidl_typesupport_introspection_c.cpython-310-aarch64-linux-gnu.so
[3.195s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/__init__.py
[3.196s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_ctrl_plot.py
[3.198s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_ctrl_plot_s.c
[3.199s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_leg_motors.py
[3.201s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_leg_motors_s.c
[3.202s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_motion_ctrl.py
[3.204s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_motion_ctrl_s.c
[3.205s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_movement_ctrl_data.py
[3.207s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_movement_ctrl_data_s.c
[3.208s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_movement_ctrl_mode.py
[3.210s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_movement_ctrl_mode_s.c
[3.211s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_robot_status.py
[3.213s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg/_robot_status_s.c
[3.215s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/motion_msgs_s__rosidl_typesupport_fastrtps_c.cpython-310-aarch64-linux-gnu.so
[3.217s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/motion_msgs_s__rosidl_typesupport_introspection_c.cpython-310-aarch64-linux-gnu.so
[3.219s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/motion_msgs_s__rosidl_typesupport_c.cpython-310-aarch64-linux-gnu.so
[3.221s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/CtrlPlot.idl
[3.223s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/LegMotors.idl
[3.225s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/MotionCtrl.idl
[3.226s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/RobotStatus.idl
[3.228s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/MovementCtrlData.idl
[3.229s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/MovementCtrlMode.idl
[3.231s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/CtrlPlot.msg
[3.232s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/LegMotors.msg
[3.234s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/MotionCtrl.msg
[3.236s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/RobotStatus.msg
[3.237s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/MovementCtrlData.msg
[3.239s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/msg/MovementCtrlMode.msg
[3.241s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/ament_index/resource_index/package_run_dependencies/motion_msgs
[3.243s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/ament_index/resource_index/parent_prefix_path/motion_msgs
[3.245s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/environment/ament_prefix_path.sh
[3.246s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/environment/ament_prefix_path.dsv
[3.248s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/environment/path.sh
[3.249s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/environment/path.dsv
[3.251s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/local_setup.bash
[3.253s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/local_setup.sh
[3.254s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/local_setup.zsh
[3.256s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/local_setup.dsv
[3.256s] -- Symlinking: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/package.dsv
[3.290s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/ament_index/resource_index/packages/motion_msgs
[3.292s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/cmake/rosidl_cmake-extras.cmake
[3.293s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/cmake/ament_cmake_export_dependencies-extras.cmake
[3.295s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/cmake/ament_cmake_export_include_directories-extras.cmake
[3.296s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/cmake/ament_cmake_export_libraries-extras.cmake
[3.298s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/cmake/ament_cmake_export_targets-extras.cmake
[3.299s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/cmake/rosidl_cmake_export_typesupport_targets-extras.cmake
[3.301s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/cmake/rosidl_cmake_export_typesupport_libraries-extras.cmake
[3.303s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/cmake/motion_msgsConfig.cmake
[3.304s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/cmake/motion_msgsConfig-version.cmake
[3.306s] -- Up-to-date symlink: /home/diablo/diablo_ws/install/motion_msgs/share/motion_msgs/package.xml
[3.310s] -- Up-to-date: /home/diablo/diablo_ws/install/motion_msgs/lib/libmotion_msgs__rosidl_generator_c.so
[3.314s] -- Up-to-date: /home/diablo/diablo_ws/install/motion_msgs/lib/libmotion_msgs__rosidl_typesupport_fastrtps_c.so
[3.318s] -- Up-to-date: /home/diablo/diablo_ws/install/motion_msgs/lib/libmotion_msgs__rosidl_typesupport_introspection_c.so
[3.321s] -- Up-to-date: /home/diablo/diablo_ws/install/motion_msgs/lib/libmotion_msgs__rosidl_typesupport_c.so
[3.326s] -- Up-to-date: /home/diablo/diablo_ws/install/motion_msgs/lib/libmotion_msgs__rosidl_typesupport_fastrtps_cpp.so
[3.330s] -- Up-to-date: /home/diablo/diablo_ws/install/motion_msgs/lib/libmotion_msgs__rosidl_typesupport_introspection_cpp.so
[3.334s] -- Up-to-date: /home/diablo/diablo_ws/install/motion_msgs/lib/libmotion_msgs__rosidl_typesupport_cpp.so
[3.480s] Listing '/home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs'...
[3.481s] Listing '/home/diablo/diablo_ws/install/motion_msgs/local/lib/python3.10/dist-packages/motion_msgs/msg'...
[3.507s] -- Up-to-date: /home/diablo/diablo_ws/install/motion_msgs/lib/libmotion_msgs__rosidl_generator_py.so
